,State,Year,Quater,District,Transaction_count,Transaction_amount
108,andaman-&-nicobar-islands,2020,3,744301,3071,13352610.531559702
109,andaman-&-nicobar-islands,2020,3,744205,2991,7535645.788593667
110,andaman-&-nicobar-islands,2020,4,744103,46884,138264791.5489212
111,andaman-&-nicobar-islands,2020,4,744101,40392,136401368.02166596
112,andaman-&-nicobar-islands,2020,4,744105,34410,87838226.93633425
113,andaman-&-nicobar-islands,2020,4,744102,26694,76348598.32238364
114,andaman-&-nicobar-islands,2020,4,744202,10949,25543799.074759968
115,andaman-&-nicobar-islands,2020,4,744107,9743,18083250.19055397
116,andaman-&-nicobar-islands,2020,4,744104,7654,19126095.533284884
117,andaman-&-nicobar-islands,2020,4,744112,7016,15890275.050448488
118,andaman-&-nicobar-islands,2020,4,744205,5118,12002695.281042248
119,andaman-&-nicobar-islands,2020,4,744201,5011,6777275.536669218
120,andaman-&-nicobar-islands,2021,1,744101,55726,190830957.0606181
121,andaman-&-nicobar-islands,2021,1,744103,47328,158404100.7854989
122,andaman-&-nicobar-islands,2021,1,744105,35467,111571687.43195169
123,andaman-&-nicobar-islands,2021,1,744102,23957,80750048.8238959
124,andaman-&-nicobar-islands,2021,1,744211,10648,34956327.94105429
125,andaman-&-nicobar-islands,2021,1,744202,10597,28127629.877961583
126,andaman-&-nicobar-islands,2021,1,744107,8848,19627951.469969153
127,andaman-&-nicobar-islands,2021,1,744104,8799,27854306.51949638
128,andaman-&-nicobar-islands,2021,1,744112,7113,21084790.0528014
129,andaman-&-nicobar-islands,2021,1,744301,5630,22671937.31314759
130,andaman-&-nicobar-islands,2021,2,744101,73334,227585492.7414593
131,andaman-&-nicobar-islands,2021,2,744103,66321,174752815.1688521
132,andaman-&-nicobar-islands,2021,2,744105,52645,134835744.22049245
133,andaman-&-nicobar-islands,2021,2,744102,34289,100890426.76234055
134,andaman-&-nicobar-islands,2021,2,744202,16476,40647907.96960775
135,andaman-&-nicobar-islands,2021,2,744107,14524,24690581.539094776
136,andaman-&-nicobar-islands,2021,2,744104,11278,28333852.06159348
137,andaman-&-nicobar-islands,2021,2,744211,10182,20377949.346094526
138,andaman-&-nicobar-islands,2021,2,744112,9635,21637658.167199604
139,andaman-&-nicobar-islands,2021,2,744301,8463,27666837.39688266
140,andaman-&-nicobar-islands,2021,3,744101,116324,388328168.7639693
141,andaman-&-nicobar-islands,2021,3,744103,84790,246433385.80990067
142,andaman-&-nicobar-islands,2021,3,744105,67257,185238368.4767078
143,andaman-&-nicobar-islands,2021,3,744102,43850,131239564.16909727
144,andaman-&-nicobar-islands,2021,3,744202,19088,48475163.574293144
145,andaman-&-nicobar-islands,2021,3,744107,16203,37962312.09641009
146,andaman-&-nicobar-islands,2021,3,744104,14657,35301326.114471875
147,andaman-&-nicobar-islands,2021,3,744112,11565,28491553.61094001
148,andaman-&-nicobar-islands,2021,3,744301,11553,43464511.051198
149,andaman-&-nicobar-islands,2021,3,744211,9655,19497765.257140517
150,andaman-&-nicobar-islands,2021,4,744101,165719,533026207.9731797
151,andaman-&-nicobar-islands,2021,4,744103,121613,372243734.27985656
152,andaman-&-nicobar-islands,2021,4,744105,95028,281223411.7435058
153,andaman-&-nicobar-islands,2021,4,744102,58258,174623253.47653326
154,andaman-&-nicobar-islands,2021,4,744211,27938,94222862.10725296
155,andaman-&-nicobar-islands,2021,4,744104,25662,69245386.0816525
156,andaman-&-nicobar-islands,2021,4,744202,21913,67790798.04849821
157,andaman-&-nicobar-islands,2021,4,744107,21397,52036029.9980372
158,andaman-&-nicobar-islands,2021,4,744112,18915,55448543.43365714
159,andaman-&-nicobar-islands,2021,4,744301,14553,47792330.70050094
160,andaman-&-nicobar-islands,2022,1,744101,209941,615978080.6944855
161,andaman-&-nicobar-islands,2022,1,744103,157230,399715980.1391735
162,andaman-&-nicobar-islands,2022,1,744105,122716,321850608.7396423
163,andaman-&-nicobar-islands,2022,1,744102,74883,193336549.94178736
164,andaman-&-nicobar-islands,2022,1,744104,32471,72915521.83614868
165,andaman-&-nicobar-islands,2022,1,744211,30272,86955570.58655271
166,andaman-&-nicobar-islands,2022,1,744107,25379,58776727.62636636
167,andaman-&-nicobar-islands,2022,1,744202,24022,68519268.77643085
168,andaman-&-nicobar-islands,2022,1,744112,23471,55469783.6622991
169,andaman-&-nicobar-islands,2022,1,744301,17630,56879992.28461884
170,andaman-&-nicobar-islands,2022,2,744101,252722,702122365.3629664
171,andaman-&-nicobar-islands,2022,2,744103,230746,561168775.5622396
172,andaman-&-nicobar-islands,2022,2,744105,176252,415796516.6034926
173,andaman-&-nicobar-islands,2022,2,744102,101551,240451609.192299
174,andaman-&-nicobar-islands,2022,2,744104,47069,94335358.34017953
175,andaman-&-nicobar-islands,2022,2,744211,40245,108788594.62847154
176,andaman-&-nicobar-islands,2022,2,744107,36402,82851064.58195859
177,andaman-&-nicobar-islands,2022,2,744112,32548,70178309.12885833
178,andaman-&-nicobar-islands,2022,2,744202,27750,84587978.8405464
179,andaman-&-nicobar-islands,2022,2,744301,26170,74485462.68044695
180,andaman-&-nicobar-islands,2022,3,744104,497273,951370315.4090765
181,andaman-&-nicobar-islands,2022,3,744103,259994,545653686.3062732
182,andaman-&-nicobar-islands,2022,3,744101,213864,444967255.802143
183,andaman-&-nicobar-islands,2022,3,744105,208055,438754611.5375265
